lon,lat,elev,exp,slope,veg
721.5997337,959.0339958,670,225,0,1
725.1100262,959.0339958,721,227,6,1
728.6203187,959.0339958,737,36,0,1
732.1306112,959.0339958,733,22,1,1
735.6409037,959.0339958,226,225,4,1
739.1511962,959.0339958,415,124,13,1
742.6614887,959.0339958,653,306,23,1
746.1717812,959.0339958,819,299,2,1
644.3732987,956.4895308,247,52,12,9
647.8835912,956.4895308,213,175,6,9
651.3938837,956.4895308,201,181,5,9
654.9041762,956.4895308,308,312,4,9
658.4144687,956.4895308,296,47,10,1
661.9247612,956.4895308,468,356,12,1
665.4350537,956.4895308,444,21,10,1
668.9453462,956.4895308,461,64,12,1
672.4556387,956.4895308,424,119,7,1
675.9659312,956.4895308,435,344,11,1
679.4762237,956.4895308,300,294,11,1
682.9865162,956.4895308,408,234,13,1
686.4968087,956.4895308,436,55,3,1
690.0071012,956.4895308,426,-1,0,1
693.5173937,956.4895308,311,37,9,1
697.0276862,956.4895308,430,280,5,1
700.5379787,956.4895308,487,0,0,1
704.0482712,956.4895308,546,159,2,1
707.5585637,956.4895308,522,251,8,1
711.0688562,956.4895308,492,329,1,1
714.5791487,956.4895308,487,225,0,1
718.0894412,956.4895308,600,220,13,1
721.5997337,956.4895308,557,356,10,1
725.1100262,956.4895308,684,357,4,1
728.6203187,956.4895308,731,342,0,1
732.1306112,956.4895308,762,-1,0,1
735.6409037,956.4895308,304,327,5,1
739.1511962,956.4895308,637,347,27,1
742.6614887,956.4895308,281,224,16,1
746.1717812,956.4895308,789,221,9,1
749.6820737,956.4895308,823,309,3,1
647.8835912,953.9450658,183,-1,0,9
651.3938837,953.9450658,335,201,7,9
654.9041762,953.9450658,436,286,5,1
658.4144687,953.9450658,424,88,5,1
661.9247612,953.9450658,430,339,6,1
665.4350537,953.9450658,548,-1,0,1
668.9453462,953.9450658,499,156,7,1
672.4556387,953.9450658,361,180,1,1
675.9659312,953.9450658,365,90,0,1
679.4762237,953.9450658,365,-1,0,1
682.9865162,953.9450658,487,-1,0,1
686.4968087,953.9450658,426,-1,0,1
690.0071012,953.9450658,450,84,18,1
693.5173937,953.9450658,487,-1,0,1
697.0276862,953.9450658,451,352,7,1
700.5379787,953.9450658,455,324,10,1
704.0482712,953.9450658,487,270,0,1
707.5585637,953.9450658,478,311,4,1
711.0688562,953.9450658,492,269,9,1
714.5791487,953.9450658,609,-1,0,1
718.0894412,953.9450658,673,8,0,1
721.5997337,953.9450658,691,19,4,1
725.1100262,953.9450658,707,14,7,1
728.6203187,953.9450658,744,299,5,1
732.1306112,953.9450658,791,349,1,1
735.6409037,953.9450658,774,319,2,1
739.1511962,953.9450658,793,293,1,1
742.6614887,953.9450658,463,344,12,1
746.1717812,953.9450658,324,236,17,1
749.6820737,953.9450658,816,344,5,1
753.1923662,953.9450658,872,113,4,1
647.8835912,951.4006008,276,101,12,9
651.3938837,951.4006008,244,-1,0,1
654.9041762,951.4006008,304,189,8,1
658.4144687,951.4006008,343,156,15,1
661.9247612,951.4006008,487,72,0,1
665.4350537,951.4006008,385,139,12,1
668.9453462,951.4006008,334,145,7,1
672.4556387,951.4006008,365,315,0,1
675.9659312,951.4006008,487,180,0,1
679.4762237,951.4006008,496,0,3,1
682.9865162,951.4006008,429,117,3,1
686.4968087,951.4006008,426,45,0,1
690.0071012,951.4006008,548,45,0,1
693.5173937,951.4006008,548,9,1,1
697.0276862,951.4006008,551,70,1,1
700.5379787,951.4006008,583,36,3,1
704.0482712,951.4006008,548,24,2,1
707.5585637,951.4006008,559,309,2,1
711.0688562,951.4006008,610,281,0,1
714.5791487,951.4006008,548,263,1,1
718.0894412,951.4006008,648,297,7,1
721.5997337,951.4006008,727,191,1,1
725.1100262,951.4006008,762,-1,0,1
728.6203187,951.4006008,747,252,5,1
732.1306112,951.4006008,792,297,0,1
735.6409037,951.4006008,823,225,0,1
